brand,name,description,category,product_type,cleaned_desc
sally b's skin yummies,B Smudged,"Let your eyes naturally pop with our B Smudged, a subtle eye color that adds a tint of color to the base of your lashes. An organic, cream eye color, B Smudged eliminates the inevitable uneven line from traditional eyeliners, and does not require expert blending techniques of messy, powder-based shadows. Simply 'smudge' along lash line for color that stays in place for a long lasting look.",,eyeshadow,let eye naturally pop smudged subtle eye color add tint color base lash organic cream eye color smudged eliminates inevitable uneven line traditional eyeliner require expert blending technique messy powder based shadow simply smudge along lash line color stay place long lasting look
sally b's skin yummies,B Glossy Lip Gloss,"Intensify your natural lip color with Sally B's B Glossy Lip Gloss, an organic lip gloss that adds a silky smooth hint of color and shimmer to lips. Formulated with 98% certified organic, moisture-rich ingredients our B Glossy Lip Gloss works to enrich lip health for lips that feel good and look even better.",lip_gloss,lipstick,intensify natural lip color sally glossy lip gloss organic lip gloss add silky smooth hint color shimmer lip formulated certified organic moisture rich ingredient glossy lip gloss work enrich lip health lip feel good look even better
rejuva minerals,Multi Purpose Powder - Blush & Eye,"Our Multi Purpose Pressed Powders may be used for blush or eye shadow. Blended with antioxidants from Certified Organic Fruits, Berries &amp; Botanicals*. Made without any gluten containing ingredients. Mica free Pink Parfait and Papaya will offer a natural, ultra sheer semi-matte finish. The petals from beautiful crushed red roses that are found in Pink Parfait, are valued for their natural color and delightful aroma that they provide! Acai Berry will offer a natural, ultra sheer satin finish (mica added). VEGAN. Image one is Pink Parfait. Image two is Papaya, and image three is Acai Berry. Model in image four is wearing Papaya. Model in image five is wearing Acai Berry. To see a demonstration of Papaya, click on the video and fast forward to 3:44. Enjoy! This product is EWG VERIFIED&#x2122; and rated 'CLEAN'in the Think Dirty app! BPA and Phthalate free packaging. Plastic parts of compacts are recyclable. *Tiny flecks of fruit and botanical particles may be visible in powder. Pink Parfait and Papaya are Titanium Di  and Mica free. Net Weight: 2.8 gm.",,eyeshadow,multi purpose pressed powder may used blush eye shadow blended antioxidant certified organic fruit berry amp botanical made without gluten containing ingredient mica free pink parfait papaya offer natural ultra sheer semi matte finish petal beautiful crushed red rose found pink parfait valued natural color delightful aroma provide acai berry offer natural ultra sheer satin finish mica added vegan image one pink parfait image two papaya image three acai berry model image four wearing papaya model image five wearing acai berry see demonstration papaya click video fast forward enjoy product ewg verified rated clean think dirty app bpa phthalate free packaging plastic part compact recyclable tiny fleck fruit botanical particle may visible powder pink parfait papaya titanium di  mica free net weight gm
rejuva minerals,Multi Purpose Powder - Blush & Eye,"Our Multi Purpose Pressed Powders may be used for blush or eye shadow. Blended with antioxidants from Certified Organic Fruits, Berries &amp; Botanicals*. Made without any gluten containing ingredients. Mica free Pink Parfait and Papaya will offer a natural, ultra sheer semi-matte finish. The petals from beautiful crushed red roses that are found in Pink Parfait, are valued for their natural color and delightful aroma that they provide! Acai Berry will offer a natural, ultra sheer satin finish (mica added). VEGAN. Image one is Pink Parfait. Image two is Papaya, and image three is Acai Berry. Model in image four is wearing Papaya. Model in image five is wearing Acai Berry. To see a demonstration of Papaya, click on the video and fast forward to 3:44. Enjoy! This product is EWG VERIFIED&#x2122; and rated 'CLEAN'in the Think Dirty app! BPA and Phthalate free packaging. Plastic parts of compacts are recyclable. *Tiny flecks of fruit and botanical particles may be visible in powder. Pink Parfait and Papaya are Titanium Di  and Mica free. Net Weight: 2.8 gm.",powder,blush,multi purpose pressed powder may used blush eye shadow blended antioxidant certified organic fruit berry amp botanical made without gluten containing ingredient mica free pink parfait papaya offer natural ultra sheer semi matte finish petal beautiful crushed red rose found pink parfait valued natural color delightful aroma provide acai berry offer natural ultra sheer satin finish mica added vegan image one pink parfait image two papaya image three acai berry model image four wearing papaya model image five wearing acai berry see demonstration papaya click video fast forward enjoy product ewg verified rated clean think dirty app bpa phthalate free packaging plastic part compact recyclable tiny fleck fruit botanical particle may visible powder pink parfait papaya titanium di  mica free net weight gm
rejuva minerals,Multi Purpose Powder - Eye Shadow & Face,"Our Multi Purpose Pressed Powders may be used as eye shadow, brow powder, eye liner, or for highlighting. Blended with antioxidants from Certified Organic Fruits, Berries &amp; Botanicals*. No gluten derived ingredients. VEGAN. All shades will offer a semi-matte finish, with the exception of White Diamond. White Diamond will offer a shimmery finish. Image one shows shade in Iris. This product is EWG VERIFIED&#x2122; and rated 'CLEAN' in the Think Dirty app! BPA and Phthalate free packaging. Plastic parts of compacts are recyclable.",,eyeshadow,multi purpose pressed powder may used eye shadow brow powder eye liner highlighting blended antioxidant certified organic fruit berry amp botanical gluten derived ingredient vegan shade offer semi matte finish exception white diamond white diamond offer shimmery finish image one show shade iris product ewg verified rated clean think dirty app bpa phthalate free packaging plastic part compact recyclable
rejuva minerals,Pressed Powder Foundation,"Coconut Cream - Warm Undertones (yellow) Light Shade. May also be used as a highlighting shade! About our pressed foundations:<ul><li>Provides a silky smooth, natural 'semi-matte' finish</li><li>All skin types</li><li>Will not dry out skin (apply light moisturizer underneath for best results)</li><li>Resists caking and settling in lines and pores</li><li>Layers to provide a light-medium (buildable) coverage</li><li>Eco-friendly, biodegradable compact</li><li>Colored with minerals and enhanced with organic fruits and botanicals</li><li>Infused with conditioning organic jojoba oil</li><li>Formulated without common skin irritants.</li></ul>",powder,foundation,coconut cream warm undertone yellow light shade may also used highlighting shade pressed foundation ul li provides silky smooth natural semi matte finish li li skin type li li dry skin apply light moisturizer underneath best result li li resists caking settling line pore li li layer provide light medium buildable coverage li li eco friendly biodegradable compact li li colored mineral enhanced organic fruit botanical li li infused conditioning organic jojoba oil li li formulated without common skin irritant li ul
rejuva minerals,Bronzer - loose,"Caribbean is a multi-purpose shade that is suitable for medium-tan skin tones. This shade may be used as a bronzer, or as a contour shade. <ul><li>Our bronzer has been enhanced with Fruits, Botanicals and Clays for their natural color, fragrance and antioxidant benefits!</li><li>Blended with Certified Organics Fruits and Botanicals</li><li>Formulated with common skin irritants.</li><li>Our bronzer will offer a natural “ultra sheer” semi-matte finish.</li><li>Made without any gluten containing ingredients</li><li>VEGAN!</li><li>Eco Friendly jars!</li></ul>",powder,bronzer,caribbean multi purpose shade suitable medium tan skin tone shade may used bronzer contour shade ul li bronzer enhanced fruit botanical clay natural color fragrance antioxidant benefit li li blended certified organic fruit botanical li li formulated common skin irritant li li bronzer offer natural ultra sheer semi matte finish li li made without gluten containing ingredient li li vegan li li eco friendly jar li ul
rejuva minerals,Bronzer - pressed,"Our bronzer has been enhanced with Fruits, Botanicals and Clays for their natural color, fragrance and antioxidant benefits! Blended with Certified Organics Fruits and Botanicals Formulated with common skin irritants. Our bronzer will offer a natural 'ultra sheer' semi-matte finish. Made without any gluten containing ingredients VEGAN! Eco Friendly jars!",powder,bronzer,bronzer enhanced fruit botanical clay natural color fragrance antioxidant benefit blended certified organic fruit botanical formulated common skin irritant bronzer offer natural ultra sheer semi matte finish made without gluten containing ingredient vegan eco friendly jar
penny lane organics,Lip Gloss,For fuller healthier lips! Long lasting colour! This colour is a good choice for any skin tone. It can be made lighter by wiping some off after application.Please note that our Vitamin E is extracted from non-GMO soy bean oil and therefore is gluten-free.,lip_gloss,lipstick,fuller healthier lip long lasting colour colour good choice skin tone made lighter wiping application please note vitamin extracted non gmo soy bean oil therefore gluten free
nudus,Amalia,"named after my beautiful mum, delicately pink that displays sophistication. a perfect sheer wash of gorgeous colour that brings a new texture to the lip euphoria range. <strong>lipstick benefits</strong> a unique handcrafted lipstick blended with certified organic ingredients. beautifully pigmented with an  ent ayurvedic bioactive colour extracts, leaving your lips soft and deli  ously hydrated.<strong>key benefits</strong><ul><li>vitamins, A, B, C, D, E and K</li><li>antioxidants, including pomegranate, raspberry and kiwi cold pressed oils</li><li>27 active natural ingredients, helping against env mental stress</li><li>colours made from flowers, fruits, herbs and minerals</li><li>free from parabens, petro-chemicals, lanolin, hydrogenated oils,fd&amp;c and lake dyes,  o-particles, gmo, pesti  des and fungi  des</li><li>not tested on animals</li><li>gluten free</li></ul>",lipstick,lipstick,named beautiful mum delicately pink display sophistication perfect sheer wash gorgeous colour brings new texture lip euphoria range strong lipstick benefit strong unique handcrafted lipstick blended certified organic ingredient beautifully pigmented an  ent ayurvedic bioactive colour extract leaving lip soft deli  ously hydrated strong key benefit strong ul li vitamin li li antioxidant including pomegranate raspberry kiwi cold pressed oil li li active natural ingredient helping env mental stress li li colour made flower fruit herb mineral li li free parabens petro chemical lanolin hydrogenated oil fd amp lake dye  o particle gmo pesti  de fungi  de li li tested animal li li gluten free li ul
marienatie,Pressed Foundation,A pressed foundation by MarieNatie providing a silky and flawless finish – it provides great coverage and protects skin with SPF 10.  Titanium di  acts as an absorbent of oil and jojoba oil helps to cleanse and moisturize the skin.,powder,foundation,pressed foundation marienatie providing silky flawless finish provides great coverage protects skin spf titanium di  act absorbent oil jojoba oil help cleanse moisturize skin
marienatie,Pressed Eye Shadow,Hypoallergenic shadows that are rich in colour with a lightweight texture.  These MarieNatie shadows are fragrance-free and will stay on all day.   Compact comes with a mini brush that can be stored away.  Titanium di  acts as an absorbent of oil and jojoba cleanses and moisturizes the skin.,,eyeshadow,hypoallergenic shadow rich colour lightweight texture marienatie shadow fragrance free stay day compact come mini brush stored away titanium di  act absorbent oil jojoba clean moisturizes skin
marienatie,Mineral Blush,Formulated to reduce the appearance of pores while creating a long-lasting natural finish.  This MarieNatie brush protects skin with SPF15.  Seri  te mica is great for absorbing oil and won’t clog up pores.  Mica is a natural mineral that helps to enhance the skin tone.,powder,blush,formulated reduce appearance pore creating long lasting natural finish marienatie brush protects skin spf seri  te mica great absorbing oil clog pore mica natural mineral help enhance skin tone
marienatie,Perfect Lash Mascara,"Marie Natie Perfect Lash Mascara is made with all natural ingredients that will not only condition your lashes but lengthen and thicken your every lash with every stroke.  Oregano, rosemary and thyme extract are great antioxidants and helps to maintain skin health.    nnamon bark extracts helps to fight infection.  Lemon peel extract contains natural healing and soothing properties.",,mascara,marie natie perfect lash mascara made natural ingredient condition lash lengthen thicken every lash every stroke oregano rosemary thyme extract great antioxidant help maintain skin health   nnamon bark extract help fight infection lemon peel extract contains natural healing soothing property
marienatie,Loose Mineral Eyeshadow,"Long-lasting eye colours delivering an instant glam and shimmer.  Silky and soft texture of MarieNatie glides on easily when applied wet or dry.  Magnesium stearate repels water and will help keep your eye shadow on all day and absorb any extra oil.  Kaolin clay will help to purify, soothe different skin types.",,eyeshadow,long lasting eye colour delivering instant glam shimmer silky soft texture marienatie glide easily applied wet dry magnesium stearate repels water help keep eye shadow day absorb extra oil kaolin clay help purify soothe different skin type
marienatie,Lipstick,"A pure and creamy lipstick by MarieNatie formulated with organic jojoba, avocado, and coconut oil which are rich in anti-oxidants and have moisturizing benefits. Enriched with naturally derived organic mango and cocoa butters that will soothe, hydrate and regenerate dry lips.",lipstick,lipstick,pure creamy lipstick marienatie formulated organic jojoba avocado coconut oil rich anti oxidant moisturizing benefit enriched naturally derived organic mango cocoa butter soothe hydrate regenerate dry lip
marienatie,Lip Gloss,MarieNatie offers a gluten free and vegan lip gloss providing rich colours and shine without the stickiness. The natural oils will offer moisturizing properties and lasting hydration for your lips. Contains grape seed oil to reduce aging and wrinkles and sunflower oil has the ability to heal skin. Vitamin E is a great antioxidant that will protect and repair skin.,lip_gloss,lipstick,marienatie offer gluten free vegan lip gloss providing rich colour shine without stickiness natural oil offer moisturizing property lasting hydration lip contains grape seed oil reduce aging wrinkle sunflower oil ability heal skin vitamin great antioxidant protect repair skin
marienatie,Gel Liner,This smooth and creamy formula from MarieNatie will provide a silky soft and non-oily finish. It glides on evenly to deliver immediate results.,gel,eyeliner,smooth creamy formula marienatie provide silky soft non oily finish glide evenly deliver immediate result
marienatie,Eyeliner,An eyeliner that offers long lasting colour and a natural smooth finish.  Both jojoba oil and meadowfoam oil have amazing moisturizing properties to help repair skin.  Beeswax is known for its healing properties and will help to improve skin conditions.,pen  l,eyeliner,eyeliner offer long lasting colour natural smooth finish jojoba oil meadowfoam oil amazing moisturizing property help repair skin beeswax known healing property help improve skin condition
maia's mineral galaxy,Mineral Eye Brow Liner Charcoal Brown,,pen  l,eyebrow, 
lotus cosmetics usa,Mascara,"All natural mascara lengthens, thickens, and defines lashes. Created with coffee extract, rice proteins and sunflower oil to condition lashes. Smudge proof and water resistant for lashes that will all day. Made with natural and organic ingredients. In Black, and Brown.",,mascara,natural mascara lengthens thickens defines lash created coffee extract rice protein sunflower oil condition lash smudge proof water resistant lash day made natural organic ingredient black brown
lotus cosmetics usa,Creme to Powder Blush,"A cream to powder blush made with all natural ingredients that applies like a soft cream but finishes like a silky powder. Antioxidant-rich botanicals help moisturize the skin, while natural pigments provide long-lasting buildable color for a healthy, radiant glow. Made with natural and organic ingredients.",cream,blush,cream powder blush made natural ingredient applies like soft cream finish like silky powder antioxidant rich botanical help moisturize skin natural pigment provide long lasting buildable color healthy radiant glow made natural organic ingredient
lotus cosmetics usa,Eye Shadow Palette Mesmerize,A four-color eyeshadow palette infused with natural minerals and antioxidant rich extracts to help prevent fine lines and wrinkles. Easily blendable shades give you the ability to create effortlessly natural or dramatic looks. Made with natural and organic ingredients.,palette,eyeshadow,four color eyeshadow palette infused natural mineral antioxidant rich extract help prevent fine line wrinkle easily blendable shade give ability create effortlessly natural dramatic look made natural organic ingredient
lotus cosmetics usa,Eye Shadow Palette Deluxe,A four-color eyeshadow palette infused with natural minerals and antioxidant rich extracts to help prevent fine lines and wrinkles. Easily blendable shades give you the ability to create effortlessly natural or dramatic looks. Made with natural and organic ingredients.,palette,eyeshadow,four color eyeshadow palette infused natural mineral antioxidant rich extract help prevent fine line wrinkle easily blendable shade give ability create effortlessly natural dramatic look made natural organic ingredient
lotus cosmetics usa,Eye Shadow Palette Smokey,A four-color eyeshadow palette infused with natural minerals and antioxidant rich extracts to help prevent fine lines and wrinkles. Easily blendable shades give you the ability to create effortlessly natural or dramatic looks. Made with natural and organic ingredients.,palette,eyeshadow,four color eyeshadow palette infused natural mineral antioxidant rich extract help prevent fine line wrinkle easily blendable shade give ability create effortlessly natural dramatic look made natural organic ingredient
lotus cosmetics usa,Eye Shadow Palette Seduction,A four-color eyeshadow palette infused with natural minerals and antioxidant rich extracts to help prevent fine lines and wrinkles. Easily blendable shades give you the ability to create effortlessly natural or dramatic looks. Made with natural and organic ingredients.,palette,eyeshadow,four color eyeshadow palette infused natural mineral antioxidant rich extract help prevent fine line wrinkle easily blendable shade give ability create effortlessly natural dramatic look made natural organic ingredient
lotus cosmetics usa,Eye Shadow Palette Cocoa,A four-color eyeshadow palette infused with natural minerals and antioxidant rich extracts to help prevent fine lines and wrinkles. Easily blendable shades give you the ability to create effortlessly natural or dramatic looks. Made with natural and organic ingredients.,palette,eyeshadow,four color eyeshadow palette infused natural mineral antioxidant rich extract help prevent fine line wrinkle easily blendable shade give ability create effortlessly natural dramatic look made natural organic ingredient
green people,Volumising Mascara,"Natural mineral pigments for intense natural black colour. Nourish roots and condition lashes with 98percent natural ingredients. Unique pre  sion brush offers excellent lash definition Natural cellulose micro spheres give outstanding volume Vitamin E, Sunflower oil & Organic Beeswax",,mascara,natural mineral pigment intense natural black colour nourish root condition lash percent natural ingredient unique pre  sion brush offer excellent lash definition natural cellulose micro sphere give outstanding volume vitamin sunflower oil organic beeswax
coastal classic creation,Conch Lipstick,"Coastal Classic Creations Conch Lipstick is a flattering, stylish, rich winterberry color. This lipstick is paraben-free and vegan and contains sunflower oil which is rich in Vitamin E and which may protect against damage from the sun. To boost the product's effectiveness, we add sesame seed oil which contains Vitamins E, D, and B complex to provide moisture and neutralize free radicals. Companions well with Boysenberry Lip Crayon.",lipstick,lipstick,coastal classic creation conch lipstick flattering stylish rich winterberry color lipstick paraben free vegan contains sunflower oil rich vitamin may protect damage sun boost product effectiveness add sesame seed oil contains vitamin complex provide moisture neutralize free radical companion well boysenberry lip crayon
c'est moi,Reflect Lip Gloss,"These essential lip gloss shades are enriched with a blend of natural and organic oils to deliver the perfect amount of sheer color and shine to lips. Enriched with a blend of natural and organic oils, this essential gloss delivers a wash of sheer color and promises shine—not stickiness. Made for Young Delicate Skin Types NO – Talc, Fragrance, Parabens, Phthalates, Sulfates, Mineral oil or Propylene Glycol Dermatologist Tested Clinically Tested on Sensitive Skin, Hypoallergenic, Made with Natural & Organic Ingredients",lip_gloss,lipstick,essential lip gloss shade enriched blend natural organic oil deliver perfect amount sheer color shine lip enriched blend natural organic oil essential gloss delivers wash sheer color promise shine stickiness made young delicate skin type talc fragrance parabens phthalates sulfate mineral oil propylene glycol dermatologist tested clinically tested sensitive skin hypoallergenic made natural organic ingredient
c'est moi,Muse Mascara,"Define, lengthen and nourish lashes with organic shea butter, grapeseed and jojoba oils. Lashes are coated gently and evenly without clumping, transferring or flaking. Long, lush lashes begin with this luxe mascara that is formulated with organic shea butter and oils of grape and jojoba seed to help nourish and condition as it lengthens and defines. Velvety and smooth, it coats lashes gently and evenly without clumping, transferring, or flaking. Made for Young Delicate Skin Types. NO – Talc, Fragrance, Parabens, Phthalates, Sulfates, Mineral oil or Propylene Glycol",,mascara,define lengthen nourish lash organic shea butter grapeseed jojoba oil lash coated gently evenly without clumping transferring flaking long lush lash begin luxe mascara formulated organic shea butter oil grape jojoba seed help nourish condition lengthens defines velvety smooth coat lash gently evenly without clumping transferring flaking made young delicate skin type talc fragrance parabens phthalates sulfate mineral oil propylene glycol
c'est moi,Luminary Lip Crayon,"These nourishing and creamy lip crayons come in 6 perfectly pigmented shades that go from subtle to statement. This easy-to-use lip crayon delivers velvety application and perfectly pigmented color, plus a nourishing formula with a creamy, consistent texture designed to make your lips appear soft and smooth. Apply sparingly for a subtle look, or generously to make a statement—either way, your lips will feel as beautiful as they look! Made for Young Delicate Skin Types NO – Talc, Fragrance, Parabens, Phthalates, Sulfates, Mineral oil or Propylene Glycol Dermatologist Tested Clinically Tested On Sensitive Skin Hypoallergenic",pen  l,lip_liner,nourishing creamy lip crayon come perfectly pigmented shade go subtle statement easy use lip crayon delivers velvety application perfectly pigmented color plus nourishing formula creamy consistent texture designed make lip appear soft smooth apply sparingly subtle look generously make statement either way lip feel beautiful look made young delicate skin type talc fragrance parabens phthalates sulfate mineral oil propylene glycol dermatologist tested clinically tested sensitive skin hypoallergenic
c'est moi,Fearless Eyeliner,"Make eyes pop with this velvety smooth eyeliner that glides on effortlessly and pre  sely. Make your eyes pop with this sleek, easy-to-use eyeliner. Formulated with both jojoba seed oil and shea butter, its velvety smooth formula glides on effortlessly and pre  sely. To sharpen, place inside sharpener and turn the pen  l gently to create a working tip. Made for Young Delicate Skin Types NO – Talc, Fragrance, Parabens, Phthalates, Sulfates, Mineral oil or Propylene Glycol  Dermatologist Tested Clinically Tested on Sensitive Skin Hypoallergenic Made with Natural Ingredients",pen  l,eyeliner,make eye pop velvety smooth eyeliner glide effortlessly pre  sely make eye pop sleek easy use eyeliner formulated jojoba seed oil shea butter velvety smooth formula glide effortlessly pre  sely sharpen place inside sharpener turn pen  l gently create working tip made young delicate skin type talc fragrance parabens phthalates sulfate mineral oil propylene glycol dermatologist tested clinically tested sensitive skin hypoallergenic made natural ingredient
alva,Liquid Eye Shadow,"Our Liquid Edition Eye Shadows have been a real winner since their launch and are a real first of their kind in natural and organic make-up. Whether you're looking for a striking or glamorous look for night time, or something more subtle and natural for wearing during the day, there is a shade for everyone. They dry quickly, and depending on the depth of colour desired, can be blended in on application or left to dry before blending for a more vivid look. Layering is also possible, but however you choose to use these liquid eye shadows they won't gather in crow's feet or fine lines around the eyes. The inclusion of patented beta glucan also means they're perfect for sensitive eyes. Pale Almond is subtle, natural, and perfect for daytime wear, and compliments our Bronzed Hazel liquid eye shadow if a duo tone is desired.",cream,eyeshadow,liquid edition eye shadow real winner since launch real first kind natural organic make whether looking striking glamorous look night time something subtle natural wearing day shade everyone dry quickly depending depth colour desired blended application left dry blending vivid look layering also possible however choose use liquid eye shadow gather crow foot fine line around eye inclusion patented beta glucan also mean perfect sensitive eye pale almond subtle natural perfect daytime wear compliment bronzed hazel liquid eye shadow duo tone desired
glossier,Stretch Concealer,"A traditional concealer sets to a stiff, flat, dry finish—a dead giveaway that you’re wearing it. Ours is a new type of concealer with elastic micro waxes that move with your face instead of caking on top of it, and nourishing oils that give a dewy, glowing finish. The buildable formula covers everything from dark   rcles to redness and blemishes. In five shades painstakingly developed to enhance, brighten, and—most importantly—completely disappear into the widest range of skin tones.",concealer,foundation,traditional concealer set stiff flat dry finish dead giveaway wearing new type concealer elastic micro wax move face instead caking top nourishing oil give dewy glowing finish buildable formula cover everything dark   rcle redness blemish five shade painstakingly developed enhance brighten importantly completely disappear widest range skin tone
glossier,Cloud Paint,"With Cloud Paint, we set out to make blush the high point of your routine. The pillowy, gel-cream formula is designed to be the most user-friendly cheek color in existence. If you can finger paint, you can Cloud Paint—simply dab it onto cheeks wherever you please. It’s seamless, sheer, and buildable (i.e. it’s hard to ac  dentally apply too much). Inspired by gradient pink NYC sunsets, the shades are optimized to work across a wide range of skin tones for a healthy, flushed-from-within glow.",cream,blush,cloud paint set make blush high point routine pillowy gel cream formula designed user friendly cheek color existence finger paint cloud paint simply dab onto cheek wherever please seamless sheer buildable hard ac  dentally apply much inspired gradient pink nyc sunset shade optimized work across wide range skin tone healthy flushed within glow
